16383 num_stratum
1 num_targets
LAI
basin_ID hill_ID zone_ID patch_ID stratum_ID LAI
1 409 15692 15692 15692 0
1 409 15720 15720 15720 0
1 409 15721 15721 15721 0
1 409 15722 15722 15722 0
1 409 15723 15723 15723 0
1 409 15724 15724 15724 0
1 409 15725 15725 15725 0.4679259
1 409 15758 15758 15758 0
1 409 15759 15759 15759 0
1 409 15760 15760 15760 0.2022332
1 409 15761 15761 15761 0.4868213
1 409 15762 15762 15762 0
1 409 15763 15763 15763 1.253868
1 409 15764 15764 15764 1.341534
1 409 15795 15795 15795 0
1 409 15796 15796 15796 0
1 409 15797 15797 15797 0
1 409 15798 15798 15798 0.5879244
1 409 15799 15799 15799 1.490855
1 409 15800 15800 15800 1.430051
1 409 15801 15801 15801 1.456836
1 409 15802 15802 15802 1.94813
1 409 15829 15829 15829 0
1 409 15830 15830 15830 0
1 409 15831 15831 15831 0
1 409 15832 15832 15832 0
1 409 15833 15833 15833 0.9819275
1 409 15834 15834 15834 1.770681
1 409 15835 15835 15835 1.622484
1 409 15836 15836 15836 1.406899
1 409 15837 15837 15837 1.362561
1 409 15863 15863 15863 0
1 409 15864 15864 15864 0
1 409 15865 15865 15865 1.679366
1 409 15866 15866 15866 0
1 409 15867 15867 15867 1.238242
1 409 15868 15868 15868 1.474276
1 409 15869 15869 15869 1.899411
1 409 15870 15870 15870 1.362561
1 409 15895 15895 15895 0
1 409 15896 15896 15896 0
1 409 15897 15897 15897 0
1 409 15898 15898 15898 0
1 409 15899 15899 15899 1.607027
1 409 15900 15900 15900 1.271001
1 409 15901 15901 15901 1.238242
1 409 15902 15902 15902 1.362561
1 409 15903 15903 15903 2.237896
1 409 15904 15904 15904 1.681813
1 409 15917 15917 15917 0
1 409 15918 15918 15918 0
1 409 15919 15919 15919 0
1 409 15920 15920 15920 0
1 409 15921 15921 15921 0
1 409 15922 15922 15922 0
1 409 15923 15923 15923 0
1 409 15924 15924 15924 0
1 409 15925 15925 15925 1.369799
1 409 15926 15926 15926 1.362561
1 409 15927 15927 15927 1.777356
1 409 15928 15928 15928 2.014282
1 409 15929 15929 15929 2.751771
1 409 15930 15930 15930 1.897824
1 409 15945 15945 15945 0
