RoadSeg,PatchNo,PatchRouteTo,ZoneNo,HillNo,OutletType
1,164,1510,1510,1,Stream
1,165,1510,1510,1,Stream
1,166,1510,1510,1,Stream
1,212,1510,1510,1,Stream
1,213,1510,1510,1,Stream
1,214,1510,1510,1,Stream
1,260,1510,1510,1,Stream
1,261,1510,1510,1,Stream
1,262,1510,1510,1,Stream
1,308,1510,1510,1,Stream
1,309,1510,1510,1,Stream
1,310,1510,1510,1,Stream
1,356,1510,1510,1,Stream
1,357,1510,1510,1,Stream
1,358,1510,1510,1,Stream
1,404,1510,1510,1,Stream
1,405,1510,1510,1,Stream
1,406,1510,1510,1,Stream
1,452,1510,1510,1,Stream
1,453,1510,1510,1,Stream
1,500,1510,1510,1,Stream
1,501,1510,1510,1,Stream
1,548,1510,1510,1,Stream
1,549,1510,1510,1,Stream
1,596,1510,1510,1,Stream
1,597,1510,1510,1,Stream
1,644,1510,1510,1,Stream
1,645,1510,1510,1,Stream
1,692,1510,1510,1,Stream
1,693,1510,1510,1,Stream
1,740,1510,1510,1,Stream
1,741,1510,1510,1,Stream
1,788,1510,1510,1,Stream
1,789,1510,1510,1,Stream
1,836,1510,1510,1,Stream
1,837,1510,1510,1,Stream
1,884,1510,1510,1,Stream
1,885,1510,1510,1,Stream
1,932,1510,1510,1,Stream
1,933,1510,1510,1,Stream
1,980,1510,1510,1,Stream
1,981,1510,1510,1,Stream
1,1028,1510,1510,1,Stream
1,1029,1510,1510,1,Stream
1,1076,1510,1510,1,Stream
1,1077,1510,1510,1,Stream
1,1124,1510,1510,1,Stream
1,1125,1510,1510,1,Stream
1,1172,1510,1510,1,Stream
1,1173,1510,1510,1,Stream
1,1220,1510,1510,1,Stream
1,1221,1510,1510,1,Stream
1,1268,1510,1510,1,Stream
1,1269,1510,1510,1,Stream
1,1316,1510,1510,1,Stream
1,1317,1510,1510,1,Stream
1,1318,1510,1510,1,Stream
1,1364,1510,1510,1,Stream
1,1365,1510,1510,1,Stream
1,1366,1510,1510,1,Stream
1,1413,1510,1510,1,Stream
1,1414,1510,1510,1,Stream
2,374,2,2,1,Pond 2
2,375,2,2,1,Pond 2
2,422,2,2,1,Pond 2
2,423,2,2,1,Pond 2
2,470,2,2,1,Pond 2
2,471,2,2,1,Pond 2
2,518,2,2,1,Pond 2
2,519,2,2,1,Pond 2
2,566,2,2,1,Pond 2
2,567,2,2,1,Pond 2
2,614,2,2,1,Pond 2
2,615,2,2,1,Pond 2
3,662,1,1,1,Pond1
3,663,1,1,1,Pond1
3,710,1,1,1,Pond1
3,711,1,1,1,Pond1
3,758,1,1,1,Pond1
3,759,1,1,1,Pond1
3,806,1,1,1,Pond1
3,807,1,1,1,Pond1
3,854,1,1,1,Pond1
3,855,1,1,1,Pond1
3,902,1,1,1,Pond1
3,903,1,1,1,Pond1
3,950,1,1,1,Pond1
3,951,1,1,1,Pond1
3,998,1,1,1,Pond1
3,999,1,1,1,Pond1
3,1046,1,1,1,Pond1
3,1047,1,1,1,Pond1
3,1094,1,1,1,Pond1
3,1095,1,1,1,Pond1
3,1142,1,1,1,Pond1
3,1143,1,1,1,Pond1
3,1190,1,1,1,Pond1
3,1191,1,1,1,Pond1
3,1238,1,1,1,Pond1
3,1239,1,1,1,Pond1
NA,2,1,1,1,Pond1
NA,1,1671,1671,2,Stream
