STATION,DATECode,Year,MonDay,Month,Day,Time,Date,HPCP
CDAIR,20100101,2010,0101,01,01,1:00:00,01/01/2010,0
CDAIR,20100107,2010,0107,01,07,23:00:00,01/07/2010,0
CDAIR,20100108,2010,0108,01,08,0:00:00,01/08/2010,1
CDAIR,20100108,2010,0108,01,08,1:00:00,01/08/2010,0
CDAIR,20100108,2010,0108,01,08,2:00:00,01/08/2010,0
CDAIR,20100111,2010,0111,01,11,23:00:00,01/11/2010,0
CDAIR,20100116,2010,0116,01,16,17:00:00,01/16/2010,0
CDAIR,20100116,2010,0116,01,16,18:00:00,01/16/2010,1
CDAIR,20100116,2010,0116,01,16,19:00:00,01/16/2010,3
CDAIR,20100116,2010,0116,01,16,20:00:00,01/16/2010,2
CDAIR,20100116,2010,0116,01,16,21:00:00,01/16/2010,2
CDAIR,20100116,2010,0116,01,16,22:00:00,01/16/2010,4
CDAIR,20100116,2010,0116,01,16,23:00:00,01/16/2010,13
CDAIR,20100117,2010,0117,01,17,0:00:00,01/17/2010,17
CDAIR,20100117,2010,0117,01,17,1:00:00,01/17/2010,22
CDAIR,20100117,2010,0117,01,17,2:00:00,01/17/2010,19
CDAIR,20100117,2010,0117,01,17,3:00:00,01/17/2010,27
CDAIR,20100117,2010,0117,01,17,4:00:00,01/17/2010,28
CDAIR,20100117,2010,0117,01,17,5:00:00,01/17/2010,13
CDAIR,20100117,2010,0117,01,17,6:00:00,01/17/2010,14
CDAIR,20100117,2010,0117,01,17,7:00:00,01/17/2010,0
CDAIR,20100117,2010,0117,01,17,8:00:00,01/17/2010,0
CDAIR,20100117,2010,0117,01,17,9:00:00,01/17/2010,0
CDAIR,20100117,2010,0117,01,17,10:00:00,01/17/2010,0
CDAIR,20100117,2010,0117,01,17,11:00:00,01/17/2010,0
CDAIR,20100121,2010,0121,01,21,5:00:00,01/21/2010,0
CDAIR,20100121,2010,0121,01,21,8:00:00,01/21/2010,0
CDAIR,20100121,2010,0121,01,21,9:00:00,01/21/2010,0
CDAIR,20100121,2010,0121,01,21,10:00:00,01/21/2010,0
CDAIR,20100121,2010,0121,01,21,11:00:00,01/21/2010,0
CDAIR,20100121,2010,0121,01,21,12:00:00,01/21/2010,9
CDAIR,20100121,2010,0121,01,21,13:00:00,01/21/2010,10
CDAIR,20100121,2010,0121,01,21,14:00:00,01/21/2010,12
CDAIR,20100121,2010,0121,01,21,15:00:00,01/21/2010,5
CDAIR,20100121,2010,0121,01,21,16:00:00,01/21/2010,6
CDAIR,20100121,2010,0121,01,21,17:00:00,01/21/2010,5
CDAIR,20100121,2010,0121,01,21,18:00:00,01/21/2010,4
CDAIR,20100121,2010,0121,01,21,19:00:00,01/21/2010,0
CDAIR,20100121,2010,0121,01,21,20:00:00,01/21/2010,1
CDAIR,20100121,2010,0121,01,21,21:00:00,01/21/2010,1
CDAIR,20100122,2010,0122,01,22,4:00:00,01/22/2010,1
CDAIR,20100122,2010,0122,01,22,5:00:00,01/22/2010,0
CDAIR,20100123,2010,0123,01,23,8:00:00,01/23/2010,0
CDAIR,20100123,2010,0123,01,23,9:00:00,01/23/2010,0
CDAIR,20100124,2010,0124,01,24,4:00:00,01/24/2010,0
CDAIR,20100124,2010,0124,01,24,6:00:00,01/24/2010,1
CDAIR,20100124,2010,0124,01,24,7:00:00,01/24/2010,6
CDAIR,20100124,2010,0124,01,24,8:00:00,01/24/2010,2
CDAIR,20100124,2010,0124,01,24,9:00:00,01/24/2010,5
CDAIR,20100124,2010,0124,01,24,10:00:00,01/24/2010,4
CDAIR,20100124,2010,0124,01,24,11:00:00,01/24/2010,14
CDAIR,20100124,2010,0124,01,24,12:00:00,01/24/2010,3
CDAIR,20100124,2010,0124,01,24,13:00:00,01/24/2010,0
CDAIR,20100124,2010,0124,01,24,14:00:00,01/24/2010,3
CDAIR,20100124,2010,0124,01,24,16:00:00,01/24/2010,0
CDAIR,20100124,2010,0124,01,24,17:00:00,01/24/2010,1
