Code,Long,Year,MonDay,Month,Day,Hour,Date,RainDepth
CDAIR,20100408,2010,408,4,8,1,4/8/10,10
CDAIR,20100408,2010,408,4,8,6,4/8/10,0
CDAIR,20100408,2010,408,4,8,7,4/8/10,18
CDAIR,20100408,2010,408,4,8,8,4/8/10,5
CDAIR,20100408,2010,408,4,8,9,4/8/10,0
CDAIR,20100408,2010,408,4,8,11,4/8/10,0
CDAIR,20100409,2010,409,4,9,6,4/9/10,0
CDAIR,20100409,2010,409,4,9,7,4/9/10,2
CDAIR,20100420,2010,420,4,20,3,4/20/10,0
CDAIR,20100420,2010,420,4,20,4,4/20/10,0
CDAIR,20100420,2010,420,4,20,5,4/20/10,0
CDAIR,20100420,2010,420,4,20,6,4/20/10,0
CDAIR,20100420,2010,420,4,20,7,4/20/10,1
CDAIR,20100420,2010,420,4,20,8,4/20/10,4
CDAIR,20100420,2010,420,4,20,9,4/20/10,4
CDAIR,20100420,2010,420,4,20,10,4/20/10,2
CDAIR,20100420,2010,420,4,20,11,4/20/10,1
CDAIR,20100421,2010,421,4,21,12,4/21/10,2
CDAIR,20100421,2010,421,4,21,2,4/21/10,0
CDAIR,20100421,2010,421,4,21,3,4/21/10,0
CDAIR,20100423,2010,423,4,23,5,4/23/10,1
CDAIR,20100423,2010,423,4,23,6,4/23/10,1
CDAIR,20100423,2010,423,4,23,7,4/23/10,1
CDAIR,20100424,2010,424,4,24,6,4/24/10,0
CDAIR,20100424,2010,424,4,24,7,4/24/10,0
CDAIR,20100424,2010,424,4,24,8,4/24/10,0
CDAIR,20100424,2010,424,4,24,3,4/24/10,0
CDAIR,20100424,2010,424,4,24,4,4/24/10,0
CDAIR,20100424,2010,424,4,24,5,4/24/10,4
CDAIR,20100424,2010,424,4,24,6,4/24/10,4
CDAIR,20100424,2010,424,4,24,7,4/24/10,3
CDAIR,20100424,2010,424,4,24,8,4/24/10,5
CDAIR,20100424,2010,424,4,24,9,4/24/10,0
CDAIR,20100424,2010,424,4,24,10,4/24/10,1
CDAIR,20100424,2010,424,4,24,11,4/24/10,2
CDAIR,20100425,2010,425,4,25,12,4/25/10,13
CDAIR,20100425,2010,425,4,25,1,4/25/10,15
CDAIR,20100425,2010,425,4,25,2,4/25/10,1
CDAIR,20100425,2010,425,4,25,3,4/25/10,11
CDAIR,20100425,2010,425,4,25,4,4/25/10,2
CDAIR,20100425,2010,425,4,25,5,4/25/10,0
CDAIR,20100426,2010,426,4,26,4,4/26/10,1
CDAIR,20100427,2010,427,4,27,12,4/27/10,0
CDAIR,20100427,2010,427,4,27,1,4/27/10,1
CDAIR,20100427,2010,427,4,27,2,4/27/10,0
CDAIR,20100427,2010,427,4,27,3,4/27/10,9
